Date,Close,Volume,Open,High,Low
4/29/24,432.75,30022160,433.13,433.76,429.98
4/26/24,431,41874910,427.62,432.55,426.92
4/25/24,424.45,57392170,419.24,425.32,418.14
4/24/24,426.51,48440310,428.2,429.73,424.2
4/23/24,425.07,44384740,420.77,426.28,418.8715
4/22/24,418.82,47807660,417.31,421.18,413.94
4/19/24,414.65,75230990,422.22,422.75,413.07
4/18/24,423.41,46549360,426.49,428.24,422.83
4/17/24,425.84,56880540,433.1,433.12,424.9
4/16/24,431.1,47618960,430.9,433.76,429.7
4/15/24,431.06,63453620,442.06,442.15,430.21
4/12/24,438.27,53665000,441.1,442.24,436.88
4/11/24,445.37,45474550,440.26,446.33,437.96
4/10/24,438.37,61502190,437,439.24,436.28
4/9/24,442.23,39521570,442.96,443.24,437.44
4/8/24,440.6,28144940,441.41,442.5,439.2
4/5/24,440.47,54744630,436.78,443.17,435.96
4/4/24,435.34,57267660,446.33,446.95,435.11
4/3/24,442.1,39949750,438.96,444,438.95
4/2/24,441.11,44259670,440.08,441.43,438.03
4/1/24,444.95,38728950,444.97,447.53,443.02
