Date,Close,Volume,Open,High,Low
4/29/24,432.75,30022160,433.13,433.76,429.98
4/26/24,431,41874910,427.62,432.55,426.92
4/25/24,424.45,57392170,419.24,425.32,418.14
4/24/24,426.51,48440310,428.2,429.73,424.2
4/23/24,425.07,44384740,420.77,426.28,418.8715
4/22/24,418.82,47807660,417.31,421.18,413.94
4/19/24,414.65,75230990,422.22,422.75,413.07
4/18/24,423.41,46549360,426.49,428.24,422.83
4/17/24,425.84,56880540,433.1,433.12,424.9
4/16/24,431.1,47618960,430.9,433.76,429.7
4/15/24,431.06,63453620,442.06,442.15,430.21
4/12/24,438.27,53665000,441.1,442.24,436.88
4/11/24,445.37,45474550,440.26,446.33,437.96
4/10/24,438.37,61502190,437,439.24,436.28
4/9/24,442.23,39521570,442.96,443.24,437.44
4/8/24,440.6,28144940,441.41,442.5,439.2
4/5/24,440.47,54744630,436.78,443.17,435.96
4/4/24,435.34,57267660,446.33,446.95,435.11
4/3/24,442.1,39949750,438.96,444,438.95
4/2/24,441.11,44259670,440.08,441.43,438.03
4/1/24,444.95,38728950,444.97,447.53,443.02
3/28/24,444.01,36839640,444.78,445.64,443.65
3/27/24,444.83,41359240,446.44,446.54,441.93
3/26/24,443.32,34142040,446.3,447.225,443.09
3/25/24,444.76,27789150,443.55,446.26,442.54
3/22/24,446.38,28253900,445.35,447.49,444.49
3/21/24,445.87,39345650,448.88,449.34,445.67
3/20/24,443.77,43653490,439.78,444.11,438.06
3/19/24,438.57,43004110,435.45,438.98,433.33
3/18/24,437.48,47323800,438.73,441.04,437.24
3/15/24,433.92,73069820,436.07,438.8733,432.7417
3/14/24,439.14,52195210,441.5,442.03,436.39
3/13/24,440.25,37928690,442.65,442.67,439.12
3/12/24,443.66,55300910,439.73,444.02,436.46
3/11/24,437.39,45859990,437.51,438.66,435.44
3/8/24,439.02,72095960,445.81,448.64,438.34
3/7/24,445.45,44526670,442.42,446.72,440.86
3/6/24,438.79,46234460,440.32,441.99,436.89
3/5/24,436.05,57917140,440.94,440.95,433.65
3/4/24,444.02,34325690,445.61,446.04,443.77
3/1/24,445.61,43853030,439.9,446.58,439.84
2/29/24,439,42495150,438.23,440.09,435.02
2/28/24,435.27,32938820,435.43,436.67,434.3
2/27/24,437.6,33713220,437.67,437.99,435.025
2/26/24,436.55,33043240,437.6,438.6,436.355
2/23/24,436.78,39853860,439.65,440.59,435.79
2/22/24,438.07,53887750,434.49,439.12,433.71
2/21/24,425.61,50179700,424.55,425.7,421.63
2/20/24,427.32,53999450,428.55,430.08,423.5
2/16/24,430.57,53716480,434.89,434.99,429.85
2/15/24,434.51,38796140,433.92,434.98,431.33
2/14/24,433.22,45092720,431.26,433.65,428.8799
2/13/24,428.55,64491670,427.28,431.27,425.3305
2/12/24,435.34,33203310,436.94,439.14,434.65
2/9/24,437.05,36943910,433.94,437.845,433.1401
2/8/24,432.79,29889890,432.11,433.56,431.42
2/7/24,431.99,37712660,430.41,432.83,429.09
2/6/24,427.59,35846130,429.61,430.22,425.22
2/5/24,428.45,39889210,429.07,429.61,425
2/2/24,429.01,59602440,423.8,430.24,422.79
2/1/24,421.88,51008620,418.79,422.375,417.81
1/31/24,416.97,64010650,420.85,422.8699,416.79
1/30/24,425.3,36738960,427.1,427.68,424.38
1/29/24,428.15,38694720,424.27,428.35,423.61
1/26/24,423.81,37137030,424.44,426.21,423.15
1/25/24,426.35,44367210,428.36,429.04,423.98
1/24/24,425.83,46948020,427.44,429.85,425.33
1/23/24,423.48,33003810,422.43,423.7,420.57
1/22/24,421.73,44880640,423.41,424.7275,421.12
1/19/24,421.18,70325120,415.22,421.34,414.625
1/18/24,412.99,59562510,410.52,413.575,409.1601
1/17/24,407.21,54385970,406.17,407.585,402.92
1/16/24,409.52,43903030,408.31,411.12,406.83
1/12/24,409.56,39594950,410.4,411.25,408.15
1/11/24,409.35,54536200,409.79,411.2004,404.242
1/10/24,408.5,33962770,406.07,409.515,405.17
1/9/24,405.75,39132860,401.91,406.69,401.71
1/8/24,404.95,42473800,397.99,405.24,397.8399
1/5/24,396.75,44922810,396.45,399.56,395.34
1/4/24,396.28,39432800,396.44,399.59,396.06
1/3/24,398.33,47002800,399.93,401,397.89
1/2/24,402.59,58026950,405.84,406.09,400.24
12/29/23,409.52,42662120,411.28,411.64,407.58
12/28/23,411.3,27029150,412.67,412.92,410.94
12/27/23,411.5,31980480,410.95,411.7875,410.08
12/26/23,410.88,22722550,409.25,411.56,409.15
12/22/23,408.38,34314000,409,409.97,406.4787
12/21/23,407.77,45568910,407.06,408.14,404.47
12/20/23,403.08,54042440,408.35,410.4699,402.9
12/19/23,409.16,35711860,407.54,409.28,407.345
12/18/23,407.08,46609990,404.93,407.99,404.6
12/15/23,405.34,62896650,404.18,406.5399,403.57
12/14/23,403.39,55447810,404.98,406.3,400.34
12/13/23,403.74,55408130,399.62,404.36,398.8399
12/12/23,398.67,39221150,395.56,398.79,394.41
12/11/23,395.52,41198020,391.74,395.79,391.53
12/8/23,392.17,46687530,388.67,392.62,388.4801
12/7/23,390.43,49593550,388.07,391.27,386.96
12/6/23,385.05,41994070,390.27,390.37,384.7
12/5/23,387.29,42932960,384.39,388.5,384.21
12/4/23,386.32,51186940,386.09,386.595,382.66
12/1/23,389.94,40490070,387.75,390.54,386.0726
11/30/23,388.83,52834380,390.08,390.55,385.82
11/29/23,389.81,38811750,392.69,394.14,389.46
11/28/23,390.19,35491120,388.41,390.78,388.05
11/27/23,389.17,34139660,389.01,391.1499,388.28
11/24/23,389.51,15718830,389.65,390.25,388.5
11/22/23,390.06,44178570,390.57,393.07,389.04
11/21/23,388.47,43336990,389.01,389.23,386.7
11/20/23,390.74,44536670,386.05,391.41,386.05
11/17/23,386.04,46622750,385.21,387.07,384.29
11/16/23,385.95,45343540,384.84,386.19,383.56
11/15/23,385.62,54141390,387.25,387.75,384.235
11/14/23,385.33,67792630,383.71,386.26,383.18
11/13/23,377.21,40733510,376.79,378.28,375.24
11/10/23,378.39,58368440,371.82,378.54,371.28
11/9/23,370.07,53859420,373.64,374.8,369.57
11/8/23,372.94,35663370,373.08,373.79,370.62
11/7/23,372.7,50777400,370.27,373.58,369.045
11/6/23,369.21,38848740,368.49,369.78,366.91
11/3/23,367.71,53280460,364.75,369.02,364.52
11/2/23,363.44,58162440,361.54,363.68,360.3
11/1/23,356.96,58992670,351.72,357.5298,351.62
10/31/23,350.87,47671910,349.23,351.25,346.62
10/30/23,349.2,55298540,347.83,350.54,346.45
10/27/23,345.31,63476710,346.43,348.84,344.08
10/26/23,343.66,78621430,349.12,350.07,342.35
10/25/23,350.34,71190540,356.7,356.88,349.75
10/24/23,359.13,47082080,357.51,359.91,355.79
10/23/23,355.67,60665190,353.26,359.26,351.1199
10/20/23,354.6,72559720,359.46,360.04,354.37
10/19/23,359.97,72274240,364.81,366.02,359.16
10/18/23,363.37,54280490,365.67,367.91,362.02
10/17/23,368.2,50999100,365.81,369.92,363.66
10/16/23,369.41,44201060,366.62,370.48,366.47
10/13/23,365.28,52519880,370.57,371.16,363.86
10/12/23,369.93,49587940,371.73,373.74,367.5
10/11/23,371.22,38215090,369.94,371.412,368.19
10/10/23,368.59,46968810,366.9,371.28,366.39
10/9/23,366.56,45304770,362.3,367.11,360.78
10/6/23,364.7,75049120,355.65,365.91,354.85
10/5/23,358.69,45897390,359.74,360.15,355.14
10/4/23,359.75,54786690,355.77,360.61,355.3
10/3/23,354.92,60478490,358.78,361.01,353.275
10/2/23,361.26,51625050,358.54,362.68,357.92
9/29/23,358.27,64829620,361.54,362.95,357.02
9/28/23,358.01,56453310,354.11,360.17,353.24
9/27/23,355.04,56065970,355.38,356.98,351.36
9/26/23,354.21,53657750,356.99,357.54,353.2101
9/25/23,359.61,39167990,356.93,359.7,355.93
9/22/23,357.91,51589690,359.63,361.8,357.59
9/21/23,357.86,69734850,360.8,361.6,357.69
9/20/23,364.54,45514190,370.95,371.31,364.46
9/19/23,369.87,37621730,369.32,370.6826,366.8
9/18/23,370.66,36903550,369.32,371.79,369.03
9/15/23,370.81,69811210,375.91,376.32,369.86
9/14/23,377.27,48039390,375.99,378.27,373.89
9/13/23,374.21,46300680,373.03,375.84,371.88
9/12/23,372.79,41391020,375.27,376.9517,372.5
9/11/23,376.97,39936630,375.66,377.49,373.66
9/8/23,372.58,35847360,372.01,374.85,371.6
9/7/23,372.06,52060720,370.21,372.85,369.15
9/6/23,374.74,42998740,377.28,377.63,372.7
9/5/23,378.07,32344220,376.77,379.3093,375.83
9/1/23,377.59,39801180,380.4,380.83,376.0801
8/31/23,377.99,35730700,376.94,379.719,376.87
8/30/23,376.86,41731510,374.88,377.4467,373.86
8/29/23,374.77,58492370,366.56,375.13,366.231
8/28/23,366.76,40910020,366.99,367.71,364.25
8/25/23,364.02,69960470,362.07,365.74,358.58
8/24/23,361.22,66842490,372.64,372.74,361.01
8/23/23,369.11,51770600,364.58,370.22,364.36
8/22/23,363.38,44613510,366.55,366.56,362.68
8/21/23,363.9,50696520,359.62,364.59,359.15
8/18/23,358.13,61191390,355.26,359.41,354.71
8/17/23,358.58,62604340,363.96,364.31,358.16
8/16/23,362.54,53190530,365.87,367.43,362.44
8/15/23,366.42,45539890,369.36,370.169,365.74
8/14/23,370.35,42130800,365.43,370.47,364.7
8/11/23,366.24,48707190,365.99,368,364.69
8/10/23,368.59,72035270,370.97,374.36,367.035
8/9/23,367.91,51150900,372.29,372.45,367.14
8/8/23,372,44726450,372.64,372.66,368.82
8/7/23,375.19,37230440,373.88,375.29,371.51
8/4/23,372.04,61702760,375.75,378.1,371.53
8/3/23,373.79,47855380,371.94,375.95,371.77
8/2/23,374.39,72687110,379.26,379.26,373.13
8/1/23,382.79,41308460,382.31,383.56,380.69
7/31/23,383.68,44019910,383.79,384.88,382.34
7/28/23,383.48,56902930,380.74,384.52,380.22
7/27/23,376.62,63940230,383.07,384.71,375.31
7/26/23,377.52,47075710,377.72,379.24,375.18
7/25/23,378.78,38894380,376.95,380.47,376.93
7/24/23,376.23,40380060,376.62,377.58,374.34
7/21/23,375.63,60499640,379.18,379.92,375.191
7/20/23,376.76,71941670,382.61,384.095,375.72
7/19/23,385.65,54092960,386.82,387.98,384.3
7/18/23,385.74,55343440,381.96,387.13,380
7/17/23,382.61,40868920,379.8,383.5,379.31
7/14/23,379.07,55148500,379.585,382.86,378.18
7/13/23,379.15,46960010,376.05,379.99,375.46
7/12/23,372.82,61703700,372.34,374.19,370.3
7/11/23,368.17,38214150,366.79,368.632,364.62
7/10/23,366.36,48498800,365.96,367.05,363.41
7/7/23,366.24,47133750,367.23,370.48,366.01
7/6/23,367.46,49374730,366.51,367.91,364.52
7/5/23,370.28,34460880,368.695,372.01,368.66
7/3/23,370.29,19379820,370.07,370.93,368.97
6/30/23,369.42,58712500,367.55,370.49,367.23
6/29/23,363.81,46150970,364.24,364.89,362.14
6/28/23,364.54,46498030,361.98,366.52,361.9038
6/27/23,363.83,49428090,359.25,364.57,358.51
6/26/23,357.68,52685480,362,364.84,357.59
6/23/23,362.54,48922910,362.21,364.88,360.8227
6/22/23,366.17,47603040,360.63,366.33,360.22
6/21/23,361.9,53378260,365.74,366.18,360.96
6/20/23,366.9,49204720,365.95,368.32,363.8899
6/16/23,367.93,80931970,372.72,372.85,367.48
6/15/23,370.26,71138820,364.61,371.77,363.98
6/14/23,365.9,69525640,363.27,366.19,360.42
6/13/23,363.26,57097800,363.29,364.11,360.03
6/12/23,360.49,44817650,356.19,360.59,355.2
6/9/23,354.5,53196930,354.63,357.66,353.03
6/8/23,353.15,47153920,349.12,353.62,348.89
6/7/23,348.82,69225940,355.13,357.12,348.18
6/6/23,354.84,41390400,354.28,355.82,352.93
6/5/23,354.9,47266230,354.43,357.495,353.85
6/2/23,354.65,53372110,353.8,355.83,352.01
6/1/23,352.01,50488600,347.73,353.36,346.66
5/31/23,347.99,65105380,348.37,350.6,346.51
5/30/23,349.98,72652160,352.71,353.93,348.53
5/26/23,348.4,63006950,340.76,349.245,340.66
5/25/23,339.72,66862770,339.14,341.01,336.665
5/24/23,331.65,62891170,331.37,332.905,329.56
5/23/23,333.36,48216660,335.89,337.06,333
5/22/23,337.64,43015950,336.25,338.67,336.24
5/19/23,336.51,61554930,337.49,338.205,335.43
5/18/23,337.27,64213470,331.52,337.49,331.5
5/17/23,331.12,47486120,328.24,331.71,327.04
5/16/23,327.16,40019150,326.06,328.9025,326.02
5/15/23,326.79,33375560,325.51,327.03,323.96
5/12/23,325.03,48432840,326.74,327.17,322.94
5/11/23,326.2,44278550,325.7,326.75,324.12
5/10/23,325.14,60446620,324.12,326.01,321.6
5/9/23,321.64,31768800,322,322.88,321.32
5/8/23,323.69,36465800,322.42,324.04,321.315
5/5/23,322.89,51806100,318.47,323.76,316.2116
5/4/23,316.17,50224520,317.06,318.23,315.115
5/3/23,317.29,59882070,319.75,322.47,317.18
5/2/23,319.38,56519410,322.12,322.45,317.61
5/1/23,322.19,41013390,322.09,323.63,321.09
